image_id,image_path,width,height,candidate_count,runtime_ms
016_1_0014,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\016_1_0014.png,136,130,1,1.598
017_1_0017,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\017_1_0017.png,114,103,2,1.624
033_1_0001,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\033_1_0001.png,134,146,4,2.157
052_1_0008_1_j,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\052_1_0008_1_j.png,167,157,3,2.529
055_1_0031,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\055_1_0031.png,163,161,1,1.858
056_1_0010,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\056_1_0010.png,213,179,3,3.276
057_0003_j,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Red signs\057_0003_j.png,142,132,1,1.828
032_1_0001_1_j,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\032_1_0001_1_j.png,226,153,5,2.278
032_1_0002_1_j,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\032_1_0002_1_j.png,158,160,2,2.456
034_1_0002,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\034_1_0002.png,100,97,1,1.633
034_1_0003_1_j,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\034_1_0003_1_j.png,124,108,3,1.817
035_1_0002,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\035_1_0002.png,90,77,4,1.664
035_1_0003,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\035_1_0003.png,99,83,1,1.194
035_1_0004,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\035_1_0004.png,132,122,2,1.758
036_1_0014,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\036_1_0014.png,210,200,1,3.106
036_1_0016,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\036_1_0016.png,134,127,2,2.387
036_1_0019,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\036_1_0019.png,82,75,2,1.372
037_0019,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\037_0019.png,129,111,2,1.574
037_0021,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\037_0021.png,113,107,1,1.255
037_1_0009,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\037_1_0009.png,129,120,5,1.831
038_0008,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\038_0008.png,153,144,2,1.982
040_0011,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\040_0011.png,136,123,2,1.687
042_0002_j,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\042_0002_j.png,145,134,4,3.864
042_0016_j,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\042_0016_j.png,140,132,3,1.733
043_1_0021,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\043_1_0021.png,206,209,1,2.95
045_1_0004,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\045_1_0004.png,147,143,3,1.793
045_1_0009,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\045_1_0009.png,141,131,4,1.926
046_0005_j,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\046_0005_j.png,127,134,4,2.237
047_0002,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\047_0002.png,120,102,3,1.719
047_0005,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\047_0005.png,232,208,8,3.41
047_1_0003,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\047_1_0003.png,120,102,3,1.532
048_0004,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\048_0004.png,193,168,6,2.231
049_1_0010,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\049_1_0010.png,109,98,1,1.54
050_1_0003,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\050_1_0003.png,181,172,4,2.366
051_0005_j,C:\Users\juinh\OneDrive\StudyMaterials\Mini Project\Activity 8\Activity 8\Inputs\Inputs\Traffic signs\Yellow Signs\051_0005_j.png,92,90,2,1.727
